문제ID,설계, 난이도,내용,보기1,보기2,보기3,보기4,보기답
DESIGN_E_009,설계,EASY,"분수식 $\frac{x+1}{2} - \frac{x-2}{3}$를 하나의 분수로 간단히 하면?","두 분수의 분모인 $2$와 $3$의 최소공배수가 $6$임을 구한다.","분모가 $6$이 되도록 첫 번째 분자의 괄호에는 $3$을, 두 번째 분자의 괄호에는 $2$를 곱하는 식을 세운다.","분자의 괄호를 분배법칙으로 풀고, 뺄셈 기호를 적용하여 식을 $\frac{3x+3-2x+4}{6}$로 합친다.","분자의 동류항을 계산하여 최종적으로 $\frac{x+7}{6}$을 구한다.",1-2-3-4
DESIGN_E_010,설계,EASY,"분모를 유리화하여 $\frac{6}{\sqrt{3}}$을 간단히 한 결과는?","주어진 분수의 분모가 무리수 $\sqrt{3}$임을 확인한다.","분모를 유리화하기 위해 분모와 분자에 똑같이 $\sqrt{3}$을 곱한다.","분모의 곱셈 $\sqrt{3} \times \sqrt{3}$을 계산하여 유리수 $3$으로 만든다.","분자의 $6\sqrt{3}$을 분모의 $3$으로 약분하여 $2\sqrt{3}$을 구한다.",1-2-3-4
DESIGN_E_011,설계,EASY,"순환소수의 덧셈 $0.\dot{4} + 0.\dot{5}$를 계산한 값은?","두 순환소수를 직접 더하기보다 분수로 바꾸어 계산할 계획을 세운다.","순환마디의 규칙을 이용하여 $0.\dot{4}$를 분수 $\frac{4}{9}$로 고친다.","같은 방법으로 $0.\dot{5}$를 분수 $\frac{5}{9}$로 고친다.","분모가 같은 두 분수를 더하여 $\frac{9}{9}$를 만들고, 이를 약분하여 정수 $1$을 구한다.",1-2-3-4
DESIGN_E_012,설계,EASY,"이차함수 $y=x^2-4x+3$의 그래프가 $y$축과 만나는 점의 $y$좌표는?","그래프가 $y$축과 만나는 점의 $y$좌표는 곧 $y$절편을 의미함을 떠올린다.","$y$절편을 구하기 위해 이차함수 식의 $x$에 $0$을 대입해야 함을 파악한다.","$x=0$을 대입한 식 $y = 0^2 - 4 \times 0 + 3$을 계산한다.","계산 결과 남은 상수항 $3$을 $y$절편이자 찾는 $y$좌표로 확정한다.",1-2-3-4
DESIGN_E_013,설계,EASY,"부등식 $\sqrt{3x} < 5$를 만족하는 자연수 $x$의 개수는?","부등식의 한 변에는 근호가 있고, 다른 한 변에는 근호가 없음을 파악한다.","부등호의 양변을 제곱하여 근호를 없애는 식인 $3x < 25$를 세운다.","양변을 $3$으로 나누어 $x < \frac{25}{3}$의 범위를 구한다.","$\frac{25}{3}$가 $8.33\cdots$임을 이용하여 범위를 만족하는 자연수 $x$가 $1$부터 $8$까지 총 $8$개임을 구한다.",1-2-3-4
DESIGN_E_014,설계,EASY,"완전제곱식 공식을 이용하여 $(2x-y)^2$을 전개하면?","주어진 식이 완전제곱식 형태인 $(a-b)^2 = a^2 - 2ab + b^2$ 임을 파악한다.","앞의 항인 $2x$를 전체 제곱하여 $4x^2$을 만든다.","앞의 항 $2x$와 뒤의 항 $y$를 곱하고 $2$배를 한 뒤, 부호를 붙여 가운데 항인 $-4xy$를 구한다.","뒤의 항인 $y$를 전체 제곱한 $y^2$을 더하여 전체 식 $4x^2 - 4xy + y^2$을 완성한다.",1-2-3-4
DESIGN_E_015,설계,EASY,"치환을 이용하여 $(x+1)^2 - 4$를 인수분해하면?","반복되는 괄호 안의 식 $x+1$을 하나의 문자 $A$로 치환하여 식을 $A^2 - 4$로 나타낸다.","식이 제곱의 차 형태인 $A^2 - 2^2$임을 파악한다.","합차공식을 이용하여 주어진 식을 $(A+2)(A-2)$로 먼저 인수분해한다.","$A$ 자리에 원래의 식 $x+1$을 다시 대입하고 식을 정리하여 $(x+3)(x-1)$을 구한다.",1-2-3-4
DESIGN_E_016,설계,EASY,"$y$가 $x$에 반비례하고 $x=2$일 때 $y=6$이다. $x=4$일 때 $y$의 값은?","두 변수가 반비례 관계이므로 기본 함수식을 $y=\frac{a}{x}$의 형태로 세운다.","주어진 조건인 $x=2, y=6$을 함수식에 대입하여 $6 = \frac{a}{2}$라는 방정식을 만든다.","방정식을 풀어 비례상수 $a=12$를 구하고 온전한 함수식 $y=\frac{12}{x}$를 완성한다.","완성된 식에 다시 $x=4$를 대입하여 구하고자 하는 $y$의 값인 $3$을 얻는다.",1-2-3-4
DESIGN_E_017,설계,EASY,"이차방정식 $x^2 - 5x + 2 = 0$의 해를 올바르게 구하는 방법은?","주어진 이차방정식이 정수 범위에서 쉽게 인수분해되지 않음을 확인한다.","이차방정식의 근의 공식인 $x = \frac{-b \pm \sqrt{b^2 - 4ac}}{2a}$를 떠올린다.","주어진 식의 계수인 $a=1, b=-5, c=2$를 공식에 맞게 대입한다.","근호 안의 식 $(-5)^2 - 4 \times 1 \times 2$를 계산하여 최종 해 $x = \frac{5 \pm \sqrt{17}}{2}$을 구한다.",1-2-3-4
DESIGN_E_018,설계,EASY,"다항식 $4x^2y - 6xy^2$을 $2xy$로 나눈 결과는?","다항식을 단항식으로 나누는 계산이므로 분수 꼴인 $\frac{4x^2y - 6xy^2}{2xy}$로 나타낸다.","분자의 각 항을 분모 $2xy$로 나누기 위해 식을 $\frac{4x^2y}{2xy} - \frac{6xy^2}{2xy}$로 분리한다.","첫 번째 분수에서 계수와 문자를 각각 약분하여 $2x$를 구한다.","두 번째 분수에서 약분하여 $3y$를 구하고, 뺄셈 기호로 연결하여 $2x - 3y$를 완성한다.",1-2-3-4
DESIGN_E_019,설계,EASY,"일차함수 $y=3x-2$의 그래프를 $y$축의 방향으로 $4$만큼 평행이동한 식은?","주어진 일차함수의 원래 식 $y=3x-2$를 확인한다.","$y$축 방향으로 평행이동하는 것은 원래 함수식의 끝에 그 값만큼을 더하는 것임을 떠올린다.","원래 식 뒤에 평행이동하는 값인 $+4$를 붙여 $y = 3x - 2 + 4$를 세운다.","상수항 부분을 계산하여 최종적으로 평행이동된 식인 $y = 3x + 2$를 구한다.",1-2-3-4
DESIGN_E_020,설계,EASY,"정팔각형의 한 내각의 크기를 구하는 과정은?","정다각형의 한 내각을 구하기 위해 먼저 다각형의 내각의 총합 공식을 떠올린다.","공식 $180^\circ \times (n-2)$에 $n=8$을 대입하여 내각의 총합인 $1080^\circ$를 구한다.","정팔각형은 모든 내각의 크기가 같다는 성질을 떠올린다.","내각의 총합 $1080^\circ$를 꼭짓점의 개수인 $8$로 나누어 한 내각의 크기인 $135^\circ$를 구한다.",1-2-3-4
DESIGN_E_021,설계,EASY,"식 $2^4 \times 5^3$을 계산하여 이 수가 몇 자리 자연수인지 구하려면?","주어진 식에서 밑이 $2$와 $5$임을 확인하고, 이를 묶어 $10$의 거듭제곱으로 만들 계획을 세운다.","지수가 더 작은 쪽에 맞추기 위해 $2^4$을 $2^1 \times 2^3$으로 분리한다.","식을 $2 \times (2^3 \times 5^3)$으로 정리하고 지수법칙으로 묶어 $2 \times 10^3$을 만든다.","$10^3$은 뒤에 $0$이 $3$개 붙는 것을 의미하므로, $2$ 뒤에 $0$이 세 개 붙은 $4$자리 수임을 구한다.",1-2-3-4
DESIGN_E_022,설계,EASY,"비례식 $(x+1) : 3 = 4 : 2$를 만족하는 $x$의 값은?","비례식에서는 외항의 곱과 내항의 곱이 항상 같다는 성질을 떠올린다.","내항인 $3$과 $4$를 곱하여 $12$를 구한다.","외항인 $(x+1)$과 $2$를 곱하여 내항의 곱과 같다는 일차방정식 $2(x+1) = 12$를 세운다.","방정식의 양변을 $2$로 나누고 $1$을 이항하여 최종 해 $x=5$를 구한다.",1-2-3-4
DESIGN_E_023,설계,EASY,"제곱근의 성질을 이용하여 $\sqrt{(-5)^2}$을 간단히 한 결과는?","근호 안의 식이 음수 $-5$의 제곱 형태임을 파악한다.","$\sqrt{A^2}$의 꼴에서 결과는 항상 절댓값 $|A|$로 나온다는 중요한 성질을 떠올린다.","제곱 기호와 근호를 없애면서 괄호 안의 수 $-5$에 절댓값 기호를 씌워 $|-5|$로 나타낸다.","음수의 절댓값은 부호를 바꾼 양수가 되므로 최종 결과로 $5$를 구한다.",1-2-3-4
DESIGN_E_024,설계,EASY,"다항식의 곱셈 $(2x-1)(x+4)$를 전개할 때 $x$의 계수는?","두 일차식의 전개 과정에서 $x$ 1차항이 만들어지는 분배법칙의 조합을 먼저 파악한다.","앞 괄호의 $2x$와 뒤 괄호의 상수항 $4$를 곱하여 $8x$를 구한다.","앞 괄호의 상수항 $-1$과 뒤 괄호의 $x$를 곱하여 $-x$를 구한다.","구해진 두 동류항 $8x$와 $-x$를 더하여 최종 $x$의 계수인 $7$을 구한다.",1-2-3-4
DESIGN_E_025,설계,EASY,"이차함수 $y=-2(x-3)^2+1$의 그래프의 꼭짓점의 좌표는?","주어진 이차함수 식이 표준형인 $y=a(x-p)^2+q$의 형태인지 확인한다.","완전제곱식 안이 $0$이 되게 하는 $x$의 값을 찾아 꼭짓점의 $x$좌표인 $3$을 구한다.","식 전체 뒤에 더해져 있는 상수항을 그대로 읽어 꼭짓점의 $y$좌표인 $1$을 구한다.","구한 두 좌표를 순서쌍 기호 안에 넣어 꼭짓점의 좌표 $(3, 1)$을 완성한다.",1-2-3-4
DESIGN_H_001,설계,HARD,"이차함수 $y=-x^2+2ax-a^2+2a-4$의 그래프의 꼭짓점이 제 3사분면 위에 있을 때, 상수 $a$의 값의 범위는?","주어진 이차함수 식을 완전제곱식을 이용하여 $y=a(x-p)^2+q$ 형태의 표준형으로 바꾼다.","꼭짓점의 $x$좌표와 $y$좌표를 상수 $a$에 관한 식으로 각각 구한다.","꼭짓점이 제 3사분면에 있으므로 $x$좌표와 $y$좌표가 모두 음수라는 부등식을 세운다.","두 부등식을 각각 풀고 공통 범위를 구하여 최종 $a$의 범위를 확정한다.",1-2-3-4
DESIGN_H_002,설계,HARD,"두 직선 $2x-y=3$과 $x+y=6$의 교점을 지나고 직선 $y=3x-1$에 평행한 일차함수의 식은?","주어진 두 직선의 방정식을 연립하여 풀 준비를 한다.","연립방정식을 풀어 두 직선이 만나는 교점의 좌표를 구한다.","구하고자 하는 직선이 $y=3x-1$과 평행하므로 기울기가 $3$임을 파악한다.","구한 기울기와 교점의 좌표를 일차함수 기본 형태에 대입하여 식을 완성한다.",1-2-3-4
DESIGN_H_003,설계,HARD,"무리수의 계산 $\frac{\sqrt{3}}{\sqrt{2}} - \frac{\sqrt{24}-\sqrt{6}}{\sqrt{3}}$을 간단히 한 결과는?","첫 번째 분수의 분모와 분자에 $\sqrt{2}$를 곱하여 분모를 유리화한다.","두 번째 분수의 분자에서 $\sqrt{24}$를 $2\sqrt{6}$으로 변형한 후 동류항을 계산하여 $\sqrt{6}$으로 간단히 한다.","간단해진 두 번째 분수의 분모와 분자에 $\sqrt{3}$을 곱하여 분모를 유리화한다.","유리화된 두 분수의 분모를 통분하고 뺄셈을 수행하여 최종 결과를 구한다.",1-2-3-4
DESIGN_H_004,설계,HARD,"$x$에 대한 이차방정식 $(k-2)x^2 - 4x + 1 = 0$이 서로 다른 두 근을 가질 때, 상수 $k$의 범위는?","주어진 식이 '이차방정식'이 되어야 하므로 이차항의 계수인 $k-2$가 $0$이 아니라는 조건을 찾는다.","이차방정식이 서로 다른 두 근을 가질 조건인 판별식 $b^2-4ac > 0$을 떠올린다.","계수를 판별식에 대입하여 $k$에 대한 일차부등식을 세우고 푼다.","부등식의 해와 첫 번째 단계에서 찾은 조건인 $k \neq 2$를 결합하여 최종 범위를 구한다.",1-2-3-4
DESIGN_H_005,설계,HARD,"일차방정식 $0.\dot{2}x - 1.\dot{3} = 0.\dot{5}$를 만족하는 $x$의 값은?","방정식에 포함된 모든 순환소수의 순환마디를 파악하여 각각 분수 형태로 변환한다.","변환된 분수를 원래 방정식에 대입하여 계수가 분수인 일차방정식을 만든다.","양변에 분모의 최소공배수를 곱하여 계수를 모두 정수로 바꾼다.","정수로 바뀐 일차방정식에서 이항과 나눗셈을 통해 $x$의 값을 구한다.",1-2-3-4
DESIGN_H_006,설계,HARD,"다항식 $x^2 y - y - x^2 + 1$을 올바르게 인수분해한 것은?","항이 $4$개인 다항식이므로 두 항씩 짝을 지어 공통인수를 찾을 계획을 세운다.","앞의 두 항에서 $y$를, 뒤의 두 항에서 $-1$을 묶어내어 $y(x^2 - 1) - (x^2 - 1)$로 식을 바꾼다.","새롭게 만들어진 공통부분인 $(x^2 - 1)$로 식 전체를 묶어낸다.","괄호 안의 합차공식 형태인 $(x^2 - 1)$을 한 번 더 인수분해하여 최종 식을 완성한다.",1-2-3-4
DESIGN_H_007,설계,HARD,"연립방정식 $ax+by=5$, $bx-ay=2$의 해가 $x=1, y=-1$일 때, 상수 $a, b$에 대하여 $a+b$의 값은?","주어진 해 $x=1, y=-1$을 두 일차방정식의 $x$와 $y$ 자리에 각각 대입한다.","미지수가 $a$와 $b$인 새로운 형태의 연립방정식을 만든다.","새로운 연립방정식을 가감법이나 대입법으로 풀어 $a$와 $b$의 값을 각각 구한다.","구한 상수 $a$와 $b$의 값을 더하여 최종 결과를 계산한다.",1-2-3-4
DESIGN_H_008,설계,HARD,"지면에서 초속 $20\text{m}$로 똑바로 위로 던져 올린 물체의 $t$초 후의 높이 $h\text{m}$가 $h = -5t^2 + 20t + 2$일 때, 이 물체가 도달하는 최고 높이는?","물체가 도달하는 최고 높이는 주어진 이차함수 그래프의 꼭짓점의 $h$좌표와 같음을 파악한다.","이차함수 식에서 $t^2$의 계수인 $-5$로 $t$가 포함된 항들을 묶어낸다.","괄호 안에 일차항 계수의 절반의 제곱을 더하고 빼서 완전제곱식 형태로 변형한다.","식을 $h = a(t-p)^2 + q$ 꼴로 정리한 후 상수항 $q$의 값을 최고 높이로 확정한다.",1-2-3-4
